first_name,last_name,nickname,height,weight,reach,stance,wins,losses,draws,belt,fighter_url
Michael,Kuiper,,"6' 0""",185 lbs.,"73.0""",Orthodox,15,5,0,,http://ufcstats.com/fighter-details/b7f38813485745da
Anton,Kuivanen,,"5' 8""",155 lbs.,"72.0""",Orthodox,24,10,0,,http://ufcstats.com/fighter-details/706f8e2b34e8e18b
Maiju,Kujala,,--,135 lbs.,--,,6,3,0,,http://ufcstats.com/fighter-details/4e77d070239699e2
Sumit,Kumar,The Indian Kid,"5' 5""",125 lbs.,"66.0""",Orthodox,8,1,0,,http://ufcstats.com/fighter-details/a0a625221e0dd339
Aleksei,Kunchenko,,"5' 8""",170 lbs.,"70.0""",Orthodox,20,2,0,,http://ufcstats.com/fighter-details/e2ccd9a9ace60de7
Rizvan,Kuniev,,"6' 4""",240 lbs.,"76.0""",Orthodox,13,3,1,,http://ufcstats.com/fighter-details/739fd4fbb5d862f4
Keigo,Kunihara,,"6' 0""",235 lbs.,--,Orthodox,3,2,0,,http://ufcstats.com/fighter-details/782a2a17d3e38fdf
Kiichi,Kunimoto,Strasser,"5' 10""",170 lbs.,"71.0""",Orthodox,18,7,2,,http://ufcstats.com/fighter-details/71df36d6d8cf0d74
Jon,Kunneman,AK-47,--,185 lbs.,--,,10,0,0,,http://ufcstats.com/fighter-details/2694c4997a51ed01
Leo,Kuntz,The Lion,"5' 10""",155 lbs.,--,Orthodox,18,4,1,,http://ufcstats.com/fighter-details/6905d45bd71b50a9
Korey,Kuppe,,"6' 5""",170 lbs.,"77.0""",Switch,8,4,0,,http://ufcstats.com/fighter-details/780a2897055e3ee3
Ramazan,Kuramagomedov,,"6' 1""",170 lbs.,"73.0""",Orthodox,8,0,0,,http://ufcstats.com/fighter-details/b6a73e6f11a8835c
Tsuyoshi,Kurihara,,"5' 10""",185 lbs.,--,Orthodox,10,8,2,,http://ufcstats.com/fighter-details/032b65d5fff611b2
Eldari,Kurtanidze,,"5' 6""",235 lbs.,--,Orthodox,0,1,0,,http://ufcstats.com/fighter-details/4c78fc005a53831d
Kyle,Kurtz,,--,170 lbs.,--,,7,5,0,,http://ufcstats.com/fighter-details/b490def93478ae29
Guram,Kutateladze,Georgian Viking,"5' 11""",155 lbs.,"72.0""",Orthodox,13,5,0,,http://ufcstats.com/fighter-details/7772b283d288dbe2
Vadym,Kutsyi,,"6' 0""",170 lbs.,"71.0""",Orthodox,17,2,0,,http://ufcstats.com/fighter-details/aeb2bcd4371f40d5
Lina,Kvokov,,"5' 9""",135 lbs.,--,Orthodox,0,3,0,,http://ufcstats.com/fighter-details/843dd76c50cae0f6
Kaleo,Kwan,Leo Boy,"5' 7""",155 lbs.,--,,11,16,0,,http://ufcstats.com/fighter-details/2545c7f47a65bca3
Jarrod,Kwitty,,"5' 8""",185 lbs.,--,,2,2,0,,http://ufcstats.com/fighter-details/849d15ed7e3a0e97
Mike,Kyle,MAK,"6' 4""",205 lbs.,"77.0""",Orthodox,22,14,1,,http://ufcstats.com/fighter-details/56b8b24f65f9f057
Lisa,Kyriacou,The Savage,"5' 5""",125 lbs.,"64.0""",Orthodox,7,2,0,,http://ufcstats.com/fighter-details/edbc609a3b0d2aba
Achmed,Labasanov,,"6' 3""",215 lbs.,--,Orthodox,7,4,0,,http://ufcstats.com/fighter-details/b3fb8d2293e17a59
Josh,LaBerge,,"5' 10""",145 lbs.,--,,11,6,0,,http://ufcstats.com/fighter-details/5108b169b5fe1f86
Jeremiah,Labiano,The Kid,"5' 10""",135 lbs.,--,,11,5,0,,http://ufcstats.com/fighter-details/4fe1d105af549845
Daniel,Lacerda,Miojo,"5' 6""",125 lbs.,"70.0""",Switch,11,6,0,,http://ufcstats.com/fighter-details/31bb0772f21cabd8
Luan,Lacerda,,"5' 7""",135 lbs.,"71.0""",Orthodox,13,4,0,,http://ufcstats.com/fighter-details/6fc506e1099afe20
Kemran,Lachinov,,--,170 lbs.,--,,3,2,0,,http://ufcstats.com/fighter-details/eb84192d1a97f69e
Aspen,Ladd,,"5' 6""",135 lbs.,"66.0""",Orthodox,9,3,0,,http://ufcstats.com/fighter-details/d4691518d012b9e7
Ryan,LaFlare,,"6' 1""",170 lbs.,"74.0""",Southpaw,14,3,0,,http://ufcstats.com/fighter-details/4c7781da8c6cae93
Corinne,Laframboise,,"5' 4""",125 lbs.,"65.0""",Orthodox,8,5,0,,http://ufcstats.com/fighter-details/fbe9f4efc2153be2
Ben,Lagman,Bad News,"6' 2""",185 lbs.,--,,6,5,0,,http://ufcstats.com/fighter-details/b40e65d71a8d4ce5
Noad,Lahat,Neo,"5' 9""",145 lbs.,"69.0""",Orthodox,11,2,0,,http://ufcstats.com/fighter-details/9f755fb04cc21499
Tina,Lahdemaki,Jelly Bean,"5' 2""",115 lbs.,--,Orthodox,5,1,0,,http://ufcstats.com/fighter-details/e5ca2bc2451a5956
Yohan,Lainesse,White Lion,"6' 1""",170 lbs.,"76.0""",Orthodox,9,3,0,,http://ufcstats.com/fighter-details/f998f5c102250d6e
Tim,Lajcik,The Bohemian,"6' 1""",225 lbs.,--,Orthodox,7,6,1,,http://ufcstats.com/fighter-details/c7e9d15cfce52f1d
Todd,Lally,,"5' 7""",145 lbs.,--,Orthodox,2,1,0,,http://ufcstats.com/fighter-details/7d06092326c52528
Sean,Lally,The Unpredictable One,"6' 0""",170 lbs.,--,Orthodox,7,3,0,,http://ufcstats.com/fighter-details/e62ce041bb7aeb1f
Ricardo,Lamas,The Bully,"5' 8""",145 lbs.,"71.0""",Orthodox,20,8,0,,http://ufcstats.com/fighter-details/3974fa35c917af1d
Jason,Lambert,The Punisher,"6' 3""",185 lbs.,"75.0""",Orthodox,26,13,0,,http://ufcstats.com/fighter-details/5be86bb2f78fef2f
Jose,Landi-Jons,Pele,"5' 11""",170 lbs.,--,Orthodox,29,16,0,,http://ufcstats.com/fighter-details/7e062824c175f975
Nate,Landwehr,The Train,"5' 9""",155 lbs.,"72""",Orthodox,18,8,0,,http://ufcstats.com/fighter-details/583ee11abddfc581
Austen,Lane,,"6' 6""",205 lbs.,"80.0""",Orthodox,13,8,0,,http://ufcstats.com/fighter-details/be9bdec19b7e9ffe
Aaron,Lanfranco,,--,155 lbs.,--,,5,1,0,,http://ufcstats.com/fighter-details/d73e856f150744b2
Jeremy,Lang,,"5' 11""",205 lbs.,--,Southpaw,21,2,0,,http://ufcstats.com/fighter-details/09422812370fbdfe
Lionel,Lanham,,--,205 lbs.,--,,5,1,0,,http://ufcstats.com/fighter-details/b8980dd7e8fc5976
Lina,Lansberg,Elbow Queen,"5' 7""",135 lbs.,"65.0""",Orthodox,10,8,0,,http://ufcstats.com/fighter-details/2eeaefbfc7f9fcff
